"geographicAreaM49","measuredItemFbsSua","measuredElementSuaFbs","timePointYears","Value","flagObservationStatus","flagMethod"
"426","21184.02","5910","2017",0.005,"I","s"
"426","21190.01","5910","2017",30.76,"I","s"
"426","21330.90","5910","2017",0.02592,"I","s"
"426","21392","5910","2017",0.477,"I","s"
"426","21393.01","5910","2017",0.35,"I","s"
"426","21393.90","5910","2017",0.0882,"I","s"
"426","21399.02","5910","2017",0.003,"I","s"
"426","21411","5910","2017",0.0814,"I","s"
"426","21412","5910","2017",0.001,"I","s"
"426","21419.99","5910","2017",0.229,"I","s"
"426","21429.07","5910","2017",0.008,"I","s"
"426","21431.02","5910","2017",0.96868,"I","s"
"426","21439.9","5910","2017",16.00249,"I","s"
"426","21495.01","5910","2017",0.17,"I","s"
"426","21700.02","5910","2017",1.704,"I","s"
"426","22110.02","5910","2017",0,"I","s"
"426","22211","5910","2017",3.82027,"I","s"
"426","22212","5910","2017",2.68025,"I","s"
"426","22221.01","5910","2017",0.03644,"I","s"
"426","22222.01","5910","2017",0.12082,"I","s"
"426","22230.02","5910","2017",0.003,"I","s"
"426","22251.01","5910","2017",0.003,"I","s"
"426","22260","5910","2017",0.046,"I","s"
"426","22270","5910","2017",0,"I","s"
"426","23120.90","5910","2017",7.59495,"I","s"
"426","23140.03","5910","2017",11.04586,"I","s"
"426","23140.08","5910","2017",0.31735,"I","s"
"426","23161.02","5910","2017",43.10379,"I","s"
"426","23180","5910","2017",0,"I","s"
"426","23220.01","5910","2017",0.004,"I","s"
"426","23230.01","5910","2017",0.0005,"I","s"
"426","23320","5910","2017",6.25,"I","s"
"426","2351f","5910","2017",0.243,"I","s"
"426","23670.01","5910","2017",0.90845,"I","s"
"426","23710","5910","2017",9.50034,"I","s"
"426","23911","5910","2017",0.15754,"I","s"
"426","23912.01","5910","2017",0.19644,"I","s"
"426","23912.02","5910","2017",0.34065,"I","s"
"426","23914","5910","2017",0.021,"I","s"
"426","23991.01","5910","2017",0.01,"I","s"
"426","23991.02","5910","2017",1.173,"I","s"
"426","23991.03","5910","2017",0.0102,"I","s"
"426","23995.01","5910","2017",0.021,"I","s"
"426","23999.02","5910","2017",0,"I","s"
"426","2413","5910","2017",5.31623,"I","s"
"426","24212.02","5910","2017",5.2276,"I","s"
"426","24230.03","5910","2017",12.29292,"I","s"
"426","24310.01","5910","2017",17.94878,"I","s"
"426","24320","5910","2017",11.8891,"I","s"
"426","24490","5910","2017",23.67017,"I","s"
"426","25020.01","5910","2017",51.082,"I","s"
